open_time,close_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,price,ticker
1713033000000,1713033899999,66875.28,67178.3,66736.66,67144.0,417.89234,27957683.19125290,23056,66875.28,BTCUSDT
1713033900000,1713034799999,67144.0,67243.47,66994.41,67156.27,336.61489,22591076.99359860,21047,67144.0,BTCUSDT
1713034800000,1713035699999,67156.27,67219.79,67025.22,67025.22,205.95629,13829668.96823170,14224,67156.27,BTCUSDT
1713035700000,1713036599999,67025.23,67054.95,66903.22,67048.81,168.38132,11280234.52085140,13668,67025.23,BTCUSDT
1713036600000,1713037499999,67048.82,67241.55,66791.2,66791.2,276.4092,18533416.83348650,17630,67048.82,BTCUSDT
1713037500000,1713038399999,66791.21,66814.57,63750.01,64788.01,5158.3422,335589347.09444220,194933,66791.21,BTCUSDT
1713038400000,1713039299999,64788.01,64853.9,60660.57,62543.0,8491.63012,531230546.46221790,330919,64788.01,BTCUSDT
1713039300000,1713040199999,62544.0,62768.15,61252.88,62097.45,4862.95765,302123477.40404920,172658,62544.0,BTCUSDT
1713040200000,1713041099999,62096.23,62828.21,62065.44,62507.47,3259.79017,203818569.53358120,106459,62096.23,BTCUSDT
1713041100000,1713041999999,62507.47,62580.0,61333.33,61816.02,3650.59513,225640532.94365520,126193,62507.47,BTCUSDT
1713042000000,1713042899999,61816.01,62666.67,61816.01,62080.02,2449.22029,152497510.23596540,91564,61816.01,BTCUSDT
1713042900000,1713043799999,62080.02,62319.14,61693.0,61794.11,1851.70681,114735515.61968820,63843,62080.02,BTCUSDT
1713043800000,1713044699999,61794.11,62417.23,61750.0,62324.99,1105.5415,68639637.05764420,40888,61794.11,BTCUSDT
1713044700000,1713045599999,62324.98,62959.48,62238.8,62928.01,1267.23062,79323176.68184160,43976,62324.98,BTCUSDT
1713045600000,1713046499999,62928.0,62928.01,62118.56,62372.02,1152.59097,71974499.17463660,40849,62928.0,BTCUSDT
1713046500000,1713047399999,62372.01,62908.62,62348.02,62791.06,965.07203,60504020.27480080,35118,62372.01,BTCUSDT
1713047400000,1713048299999,62791.06,64615.38,62772.0,64558.38,2299.74327,146641769.63642540,95295,62791.06,BTCUSDT
1713048300000,1713049199999,64558.37,64585.84,63909.09,64293.46,1623.84644,104309893.51589550,57970,64558.37,BTCUSDT
1713049200000,1713050099999,64293.47,65608.09,64278.17,65019.19,2214.55398,144074011.07899090,82739,64293.47,BTCUSDT
1713050100000,1713050999999,65019.19,65338.8,64158.19,64408.01,1592.31955,103169229.04872000,57263,65019.19,BTCUSDT
1713051000000,1713051899999,64408.0,64695.62,64337.0,64340.48,897.42885,57917276.89891660,32244,64408.0,BTCUSDT
1713051900000,1713052799999,64340.48,64586.2,63651.15,63924.51,1080.30538,69263339.13025740,39797,64340.48,BTCUSDT
1713052800000,1713053699999,63924.52,64303.87,63747.53,63874.97,1277.41175,81874326.45722400,38530,63924.52,BTCUSDT
1713053700000,1713054599999,63874.96,64030.31,62888.0,63556.99,1808.6983,114787692.60443290,61680,63874.96,BTCUSDT
1713054600000,1713055499999,63557.0,64254.02,63486.76,64099.48,1072.81899,68447908.25528550,37789,63557.0,BTCUSDT
1713055500000,1713056399999,64099.48,64271.61,63547.26,63672.18,827.83973,52875428.23656020,30989,64099.48,BTCUSDT
1713056400000,1713057299999,63672.19,63796.85,63248.7,63508.57,832.584,52865486.25997480,32191,63672.19,BTCUSDT
1713057300000,1713058199999,63508.56,63906.49,63417.01,63782.31,800.90769,51000058.85991200,26615,63508.56,BTCUSDT
1713058200000,1713059099999,63782.31,64085.7,63711.34,63867.39,622.1128,39750306.30565490,27946,63782.31,BTCUSDT
1713059100000,1713059999999,63867.4,63979.83,63651.84,63743.11,455.86332,29086026.51858660,19957,63867.4,BTCUSDT
1713060000000,1713060899999,63743.1,63953.75,63588.0,63657.0,448.79695,28614162.87582800,22115,63743.1,BTCUSDT
1713060900000,1713061799999,63657.0,63659.97,63317.0,63507.38,524.74599,33301436.91223310,25350,63657.0,BTCUSDT
1713061800000,1713062699999,63507.37,63531.1,63042.87,63158.6,718.12014,45396335.45659430,27972,63507.37,BTCUSDT
